S. No.,Date_Received,Message_body,Label
872,01-01-21,"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",Spam
873,31-07-21,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,Non-Spam
874,10-09-21,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,Non-Spam
875,10-04-21,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",Non-Spam
876,11-09-21,Surly ill give it to you:-) while coming to review.,Non-Spam
877,15-11-21,Ok no prob,Non-Spam
878,11-04-21,"Didn't try, g and I decided not to head out",Non-Spam
879,16-07-21,Hmmm.but you should give it on one day..,Non-Spam
880,21-01-21,Eatin my lunch...,Non-Spam
881,21-04-21,But pls dont play in others life.,Non-Spam
882,21-05-21,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",Non-Spam
883,27-07-21,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",Non-Spam
884,02-06-21,Ok u can take me shopping when u get paid =D,Non-Spam
885,07-10-21,"Haha yeah, 2 oz is kind of a shitload",Non-Spam
886,01-01-21,Are you staying in town ?,Non-Spam
887,28-05-21,"That's cool he'll be here all night, lemme know when you're around",Non-Spam
888,12-09-21,Sry da..jst nw only i came to home..,Non-Spam
889,26-08-21,It is a good thing I'm now getting the connection to bw,Non-Spam
890,08-02-21,Wewa is 130. Iriver 255. All 128 mb.,Non-Spam
891,16-05-21,Ü ready then call me...,Non-Spam
892,17-09-21,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text",Spam
893,19-08-21,I'm leaving my house now.,Non-Spam
894,06-04-21,I forgot 2 ask ü all smth.. There's a card on da present lei... How? Ü all want 2 write smth or sign on it?,Non-Spam
895,14-11-21,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114",Spam
896,30-05-21,"Probably not, I'm almost out of gas and I get some cash tomorrow",Non-Spam
897,17-06-21,"I didnt get ur full msg..sometext is missing, send it again",Non-Spam
898,06-04-21,"When I was born, GOD said, ""Oh No! Another IDIOT"". When you were born, GOD said, ""OH No! COMPETITION"". Who knew, one day these two will become FREINDS FOREVER!",Non-Spam
899,22-07-21,IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO ,Non-Spam
900,13-06-21,I send the print  outs da.,Non-Spam
901,28-06-21,Not..tel software name..,Non-Spam
902,01-04-21,Ok set let u noe e details later...,Non-Spam
903,11-06-21,Mum not going robinson already.,Non-Spam
904,18-04-21,No. Yes please. Been swimming?,Non-Spam
905,11-01-21,Ladies first and genus second k .,Non-Spam
906,13-07-21,Ok no prob...,Non-Spam
907,12-01-21,You call him and tell now infront of them. Call him now.,Non-Spam
908,09-08-21,I cant pick the phone right now. Pls send a message,Non-Spam
909,04-04-21,This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age,Non-Spam
910,15-03-21,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04,Spam
911,19-12-21,"K, I'll work something out",Non-Spam
912,03-04-21,Our Prasanth ettans mother passed away last night. Just pray for her and family.,Non-Spam
913,20-04-21,Hope you are having a great day.,Non-Spam
914,21-04-21,Lol yes. But it will add some spice to your day.,Non-Spam
915,01-10-21,Where r e meeting tmr?,Non-Spam
916,02-10-21,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611 ,Spam
917,25-11-21,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to ""DRINK"". . . But don't ""DRIVE """,Non-Spam
918,07-04-21,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",Non-Spam
919,28-05-21,We are okay. Going to sleep now. Later,Non-Spam
920,20-03-21,God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!,Non-Spam
921,30-07-21,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,Spam
922,24-10-21,Are you planning to come chennai?,Non-Spam
923,15-10-21,Did u got that persons story,Non-Spam
924,12-08-21,Sorry i din lock my keypad.,Non-Spam
925,26-03-21,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,Spam
926,06-05-21,Havent.,Non-Spam
927,26-05-21,Do you hide anythiing or keeping distance from me,Non-Spam
928,25-09-21,Of course. I guess god's just got me on hold right now.,Non-Spam
929,15-03-21,Captain vijaykanth is doing comedy in captain tv..he is drunken :),Non-Spam
930,28-06-21,Oh ho. Is this the first time u use these type of words,Non-Spam
931,29-04-21,K k pa Had your lunch aha.,Non-Spam
932,02-12-21,How come i din c ü... Yup i cut my hair...,Non-Spam
933,04-10-21,These won't do. Have to move on to morphine,Non-Spam
934,25-09-21,Oh wow thats gay. Will firmware update help,Non-Spam
935,14-09-21,"I'm in a meeting, call me later at",Non-Spam
936,25-12-21,"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?",Non-Spam
937,30-08-21,Everybody had fun this evening. Miss you.,Non-Spam
938,23-03-21,Only saturday and sunday holiday so its very difficult:),Non-Spam
939,05-08-21,Todays Voda numbers ending with 7634 are selected to receive a £350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,Spam
940,01-10-21,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,Spam
941,18-10-21,Lol ... I knew that .... I saw him in the dollar store,Non-Spam
942,06-08-21,I'm on the bus. Love you,Non-Spam
943,24-11-21,Jus finish blowing my hair. U finish dinner already?,Non-Spam
944,06-11-21,"U need my presnts always bcz U cant mis love. ""jeevithathile irulinae neekunna prakasamanu sneham"" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me....",Non-Spam
945,06-09-21,They finally came to fix the ceiling.,Non-Spam
946,30-04-21,"Received, understood n acted upon!",Non-Spam
947,02-03-21,THIS IS A LONG FUCKIN SHOWR,Non-Spam
948,13-03-21,"Sorry, I'll call later In meeting.",Non-Spam
949,22-09-21,Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.,Non-Spam
950,28-06-21,Good. do you think you could send me some pix? I would love to see your top and bottom...,Non-Spam
951,12-04-21,Ü called dad oredi...,Non-Spam
952,06-03-21,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,Spam
953,16-10-21,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30,Non-Spam
954,04-03-21,How much you got for cleaning,Non-Spam
955,13-03-21,Sorry da. I gone mad so many pending works what to do.,Non-Spam
956,27-03-21,Wat time ü finish?,Non-Spam
957,04-06-21,Just glad to be talking to you.,Non-Spam
